EmployeeNumber,Age,Department,JobRole,Gender,Education,MaritalStatus,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,Attrition
1,41,Sales,Sales Executive,Female,2,Single,3,4,2,1,0,Yes,8,6,4,0,5,5993,11,Yes
2,49,Research & Development,Research Scientist,Male,1,Married,4,2,3,3,3,No,10,10,7,1,7,5130,23,No
4,37,Research & Development,Laboratory Technician,Male,2,Single,3,3,4,3,3,Yes,7,0,0,0,0,2090,15,Yes
5,33,Research & Development,Research Scientist,Female,4,Married,3,3,4,3,3,Yes,8,8,7,3,0,2909,11,No
7,27,Research & Development,Laboratory Technician,Male,1,Married,3,2,1,3,3,No,6,2,2,2,2,3468,12,No
8,32,Research & Development,Laboratory Technician,Male,2,Single,3,4,4,2,2,No,8,7,7,3,6,3068,13,No
10,59,Research & Development,Laboratory Technician,Female,3,Married,4,1,3,2,3,Yes,12,1,0,0,0,2670,20,No
11,30,Research & Development,Laboratory Technician,Male,1,Divorced,4,3,4,3,2,No,1,1,0,0,0,2693,22,No
12,38,Research & Development,Manufacturing Director,Male,3,Single,4,3,4,3,2,No,10,9,7,1,8,9526,21,No
13,36,Research & Development,Healthcare Representative,Male,3,Married,3,3,3,2,3,No,17,7,7,7,7,5237,13,No
14,35,Research & Development,Laboratory Technician,Male,3,Married,3,2,1,3,5,No,6,5,4,0,3,2426,13,No
15,29,Research & Development,Laboratory Technician,Female,2,Single,3,3,4,3,3,Yes,10,9,5,0,8,4193,12,No
16,31,Research & Development,Research Scientist,Male,1,Divorced,3,3,1,2,1,No,5,5,2,4,3,2911,17,No
18,34,Research & Development,Laboratory Technician,Male,2,Divorced,3,4,2,3,2,No,3,2,2,1,2,2661,11,No
19,28,Research & Development,Laboratory Technician,Male,3,Single,3,3,3,3,4,Yes,6,4,2,0,3,2028,14,Yes
20,29,Research & Development,Manufacturing Director,Female,4,Divorced,3,1,2,3,1,No,10,10,9,8,8,9980,11,No
21,32,Research & Development,Research Scientist,Male,2,Divorced,3,2,1,2,5,Yes,7,6,2,0,5,3298,12,No
22,22,Research & Development,Laboratory Technician,Male,2,Divorced,3,4,4,2,2,Yes,1,1,0,0,0,2935,13,No
23,53,Sales,Manager,Female,4,Married,3,4,1,3,3,No,31,25,8,3,7,15427,16,No
24,38,Research & Development,Research Scientist,Male,3,Single,3,4,4,3,3,Yes,6,3,2,1,2,3944,11,No
26,24,Research & Development,Manufacturing Director,Female,2,Divorced,3,3,1,2,5,No,5,4,2,1,3,4011,18,No
27,36,Sales,Sales Representative,Male,4,Single,4,1,3,3,4,No,10,5,3,0,3,3407,23,Yes
28,34,Research & Development,Research Director,Female,4,Single,3,2,1,3,4,No,13,12,6,2,11,11994,11,No
30,21,Research & Development,Research Scientist,Male,2,Single,3,4,3,3,6,No,0,0,0,0,0,1232,14,No
31,34,Research & Development,Research Scientist,Male,1,Single,3,1,2,3,2,No,8,4,2,1,3,2960,11,Yes
32,53,Research & Development,Manager,Female,3,Divorced,3,3,3,2,3,No,26,14,13,4,8,19094,11,No
33,32,Research & Development,Research Scientist,Female,1,Single,4,1,2,3,5,Yes,10,10,2,6,7,3919,22,Yes
35,42,Sales,Sales Executive,Male,4,Married,3,2,3,3,2,No,10,9,7,4,2,6825,11,No
36,44,Research & Development,Healthcare Representative,Female,4,Married,3,4,1,3,4,No,24,22,6,5,17,10248,14,No
38,46,Sales,Manager,Female,4,Single,3,1,2,2,2,No,22,2,2,2,1,18947,12,No
39,33,Research & Development,Laboratory Technician,Male,3,Single,3,4,3,3,3,No,7,1,1,0,0,2496,11,No
40,44,Research & Development,Healthcare Representative,Male,4,Married,3,4,4,4,5,Yes,9,4,2,1,3,6465,13,No
41,30,Research & Development,Laboratory Technician,Male,2,Single,3,3,4,3,5,No,10,10,0,1,8,2206,13,No
42,39,Sales,Sales Representative,Male,3,Married,3,4,4,4,6,No,19,1,0,0,0,2086,14,Yes
45,24,Research & Development,Research Scientist,Male,3,Married,3,4,2,2,2,Yes,6,2,0,2,0,2293,16,Yes
46,43,Research & Development,Research Scientist,Female,2,Divorced,3,3,4,2,3,No,6,5,3,1,4,2645,12,No
47,50,Sales,Sales Representative,Male,2,Married,3,3,1,3,2,Yes,3,3,2,0,2,2683,14,Yes
49,35,Sales,Sales Representative,Female,3,Married,3,4,4,3,3,No,2,2,2,2,2,2014,13,No
51,36,Research & Development,Research Scientist,Female,4,Married,3,1,2,4,3,Yes,6,1,1,0,0,3419,14,No
52,33,Sales,Sales Executive,Female,3,Married,3,1,3,3,3,No,10,5,3,1,3,5376,19,No
